Date,Time,Station,Temperature,Humidity,Pressure,Wind_Speed,Wind_Direction_Deg,Wind_Direction_Label,Rainfall
2026-03-31,22:42:33,Uppal SPCB,23.74,47.0,1010.0,3.13,91.0,E,0.0
2026-03-31,22:42:33,Zoo Park SPCB,23.65,83.0,1010.0,2.06,140.0,SE,0.0
2026-04-01,22:49:47,Balanagar SPCB,23.47,39.0,1009.0,3.21,156.0,SE,0.0
2026-04-01,22:49:47,HITEC City,23.16,40.0,1009.0,3.3,157.0,SE,0.0
2026-04-01,22:49:47,IDA Pashamylaram SPCB,25.36,42.0,1009.0,3.27,158.0,S,0.0
2026-04-01,22:49:47,Sanathnagar SPCB,23.4,39.0,1009.0,3.21,156.0,SE,0.0
2026-04-01,22:49:47,US Consulate,23.25,40.0,1009.0,3.34,158.0,S,0.0
2026-04-01,22:49:47,Uppal SPCB,23.74,40.0,1009.0,2.52,156.0,SE,0.0
2026-04-01,22:49:47,Zoo Park SPCB,23.65,49.0,1009.0,2.06,0.0,N,0.0
2026-04-02,22:41:09,Balanagar SPCB,23.47,45.0,1010.0,2.3,187.0,S,0.0
2026-04-02,22:41:09,HITEC City,23.16,46.0,1010.0,2.42,189.0,S,0.0
2026-04-02,22:41:09,IDA Pashamylaram SPCB,25.66,47.0,1010.0,2.72,194.0,S,0.0
2026-04-02,22:41:09,Sanathnagar SPCB,23.4,45.0,1010.0,2.3,187.0,S,0.0
2026-04-02,22:41:09,US Consulate,23.25,46.0,1010.0,2.45,190.0,S,0.0
2026-04-02,22:41:09,Uppal SPCB,23.74,46.0,1010.0,1.87,186.0,S,0.0
2026-04-02,22:41:09,Zoo Park SPCB,23.65,78.0,1010.0,2.57,130.0,SE,0.0
2026-04-03,22:42:44,Balanagar SPCB,24.47,32.0,1008.0,2.28,205.0,SW,0.0
2026-04-03,22:42:44,HITEC City,24.16,32.0,1008.0,2.48,205.0,SW,0.0
2026-04-03,22:42:44,IDA Pashamylaram SPCB,27.92,33.0,1008.0,2.79,196.0,S,0.0
2026-04-03,22:42:44,Sanathnagar SPCB,24.4,32.0,1008.0,2.28,205.0,SW,0.0
2026-04-03,22:42:44,US Consulate,24.25,33.0,1008.0,2.54,204.0,SW,0.0
2026-04-03,22:42:44,Uppal SPCB,24.74,33.0,1008.0,2.13,190.0,S,0.0
2026-04-03,22:42:44,Zoo Park SPCB,24.65,73.0,1008.0,2.06,110.0,E,0.0
2026-04-04,22:38:41,Balanagar SPCB,25.47,40.0,1007.0,2.22,48.0,NE,0.0
2026-04-04,22:38:41,HITEC City,25.16,40.0,1007.0,1.74,28.0,NE,0.0
2026-04-04,22:38:41,IDA Pashamylaram SPCB,27.54,41.0,1008.0,2.32,341.0,N,0.0
2026-04-04,22:38:41,Sanathnagar SPCB,25.4,40.0,1007.0,2.22,48.0,NE,0.0
2026-04-04,22:38:41,US Consulate,25.25,40.0,1007.0,1.72,18.0,N,0.0
2026-04-04,22:38:41,Uppal SPCB,25.74,41.0,1007.0,2.52,55.0,NE,0.0
2026-04-04,22:38:41,Zoo Park SPCB,25.65,65.0,1007.0,2.06,0.0,N,0.0
2026-04-05,22:40:43,Balanagar SPCB,25.47,43.0,1008.0,0.8,119.0,SE,0.0
2026-04-05,22:40:43,HITEC City,25.16,44.0,1008.0,0.63,125.0,SE,0.0
2026-04-05,22:40:43,IDA Pashamylaram SPCB,26.88,45.0,1008.0,0.13,252.0,W,0.0
2026-04-05,22:40:43,Sanathnagar SPCB,25.4,43.0,1008.0,0.8,119.0,SE,0.0
2026-04-05,22:40:43,US Consulate,25.25,44.0,1008.0,0.5,128.0,SE,0.0
2026-04-05,22:40:43,Uppal SPCB,25.74,45.0,1008.0,1.53,121.0,SE,0.0
2026-04-05,22:40:43,Zoo Park SPCB,25.65,73.0,1008.0,2.06,230.0,SW,0.0
2026-04-06,22:47:21,Balanagar SPCB,26.26,21.0,1009.0,1.79,355.0,N,0.0
2026-04-06,22:47:21,HITEC City,25.39,22.0,1009.0,1.99,343.0,N,0.0
2026-04-06,22:47:21,IDA Pashamylaram SPCB,25.06,24.0,1009.0,1.93,318.0,NW,0.0
2026-04-06,22:47:21,Sanathnagar SPCB,26.26,21.0,1009.0,1.79,355.0,N,0.0
2026-04-06,22:47:21,US Consulate,25.21,23.0,1009.0,2.13,338.0,N,0.0
2026-04-06,22:47:21,Uppal SPCB,26.05,23.0,1009.0,1.5,32.0,NE,0.0
2026-04-06,22:47:21,Zoo Park SPCB,25.42,24.0,1009.0,1.63,11.0,N,0.0
2026-04-07,22:50:05,Balanagar SPCB,26.49,25.0,1008.0,1.28,3.0,N,0.0
2026-04-07,22:50:05,HITEC City,25.65,26.0,1009.0,1.04,1.0,N,0.0
